n,nsamp,error
1024,4,0
1024,4,0
1024,4,0
1024,4,0.01171875
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.00390625
1024,4,0
1024,4,0.025390625
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
2048,4,0
2048,4,0.00537109375
2048,4,0
2048,4,0.0068359375
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.00634765625
2048,4,0.00390625
2048,4,0
2048,4,0
2048,4,0.01220703125
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.01025390625
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.00341796875
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0
2048,4,0.00732421875
2048,4,0
16,8,0
16,8,0.375
16,8,0
16,8,0
16,8,0.1875
16,8,0.125
16,8,0
16,8,0
16,8,0
32,8,0.0625
32,8,0
32,8,0.03125
32,8,0
32,8,0
32,8,0.0625
32,8,0.0625
32,8,0
32,8,0.03125
32,8,0
32,8,0
32,8,0.15625
32,8,0
32,8,0
32,8,0.0625
32,8,0
32,8,0
32,8,0
32,8,0
32,8,0.03125
32,8,0.03125
32,8,0
32,8,0.09375
32,8,0
32,8,0.0625
32,8,0.03125
32,8,0.03125
32,8,0.09375
32,8,0.0625
32,8,0
32,8,0.09375
32,8,0
32,8,0.03125
32,8,0.03125
32,8,0
32,8,0
32,8,0.0625
32,8,0.03125
32,8,0.03125
32,8,0
32,8,0
32,8,0
32,8,0.09375
32,8,0.03125
32,8,0
32,8,0.09375
32,8,0.0625
32,8,0.09375
32,8,0
32,8,0
64,8,0.078125
64,8,0.046875
64,8,0
64,8,0
64,8,0
64,8,0.046875
64,8,0
64,8,0.015625
64,8,0.015625
64,8,0.046875
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0.015625
64,8,0
64,8,0
64,8,0.046875
64,8,0.015625
64,8,0
64,8,0.046875
64,8,0
64,8,0
64,8,0.03125
64,8,0.046875
64,8,0
64,8,0
64,8,0.0625
64,8,0.03125
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0
64,8,0.046875
64,8,0
64,8,0.03125
64,8,0
64,8,0
64,8,0
64,8,0.015625
64,8,0
64,8,0.015625
64,8,0
64,8,0
64,8,0.046875
64,8,0.015625
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0078125
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0234375
128,8,0.0390625
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0625
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0.0234375
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
128,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0.00390625
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0.00390625
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
256,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0.0390625
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0.015625
512,8,0
512,8,0
512,8,0
512,8,0
512,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
1024,8,0
