n,nsamp,error.rate,error.count,loss,p121,p122,p131,p132,p221,p222,p231,p232
512,0,0.068359375,35,0.9981748411545333,-0.6528928693723631,-0.7618509824938753,-0.723656995192363,0.7745650028922438,-0.7328453858684859,0.7153939887441314,-0.7000030505360494,-0.7686897872536506
512,0,0.458984375,235,2.3711691895286284,1.1784462748083908,0.6705616951646209,0.23814975326424043,-0.3358072831490973,0.8878126199651645,1.9154310728707045,0.6258469198997579,-0.7617814057980565
512,0,0.39453125,202,1.884752220858488,-0.9487770954837192,-0.6298124048395017,-0.3932473305886753,0.3366589460845585,-0.9565871752541316,1.586816173213802,-0.6416976035601872,-0.7336618338271642
512,0,0.1015625,52,1.17530930474528,-0.659684739383512,-0.7320561240898353,-0.7364578871657682,0.7073582899806445,-0.6985991851509757,0.7236132798322792,-0.69445721831519025,-0.7889432556816146
512,0,0.072265625,37,1.1339020710943324,-0.730755305227224,0.7268939647799935,-0.6894768704629515,-0.7999886738892943,-0.6557017960183501,-0.7750811476324957,-0.7250514599489564,0.7385676008247544
512,0,0.08984375,46,1.1382884014144858,-0.6738043656758383,0.7607640694500996,-0.685038718606409,-0.7734621102385738,-0.6590903311326713,-0.7718167127813187,-0.7269742645059223,0.7610770987167148
512,0,0.09375,48,1.1794514498179964,-0.7395432926404195,0.7090173764935596,-0.68298294109894,-0.7278082979839238,-0.6883202315854864,-0.7721381561015358,-0.7218400799498511,0.7361434732738601
512,0,0.31640625,162,2.231056790054157,-0.833479737440972,-0.6568846760073002,-0.6491751335805421,0.7776408771780242,-1.39738741377645,-1.2954851107750536,-0.26838420738188384,0.34579335105020553
512,0,0.115234375,59,1.2875664551855834,0.7009757326385497,-0.6979094600341722,0.6623625239180582,0.7385995368156084,0.6259872615180428,0.7611552552748085,0.7603343760575969,-0.719399797081398
512,0,0.095703125,49,1.0392978952903054,-0.6840947793722133,-0.7437839849839754,-0.7161017687814052,0.7499010465837574,-0.7062243513378283,0.7213440306339799,-0.6988939072201519,-0.739544778209514
512,0,0.080078125,41,1.3556088498263033,-0.706923088968965,0.7426133379199169,-0.6755977669897302,-0.7137187081196419,-0.64127841086545,-0.7218827838638184,-0.7311994930941048,0.6612159951940412
512,0,0.39453125,202,2.7638706156059527,-1.0634235470581372,1.5422207307469205,-0.5869511266760229,-0.7768042702162374,-1.3203724666727636,0.5597877343583666,-0.21663352343293532,-0.31813399711817736
512,0,0.08984375,46,1.0930787339327868,-0.5995575364098157,0.7623476614222437,-0.7428809247820911,-0.7089978564191891,-0.8011195345645844,-0.7160206257963009,-0.6632116308310482,0.7615688554711381
512,0,0.130859375,67,1.225635231953111,-0.6375250198184362,0.7510162675229922,-0.7110533802544211,-0.8335240235835466,-0.7428499723868434,-0.7238285157716302,-0.7053892858504159,0.783389621883393
512,0,0.123046875,63,1.2521861083678414,-0.6983668649227758,-0.7643826096655992,-0.7117547776503711,0.7950075162858472,-0.6676243372411996,0.7419116989766912,-0.7006050195577012,-0.793250418638629
512,0,0.083984375,43,1.3030205754414153,-0.6663278851918083,-0.7592786770093093,-0.7073184306005373,0.6988880575634477,-0.758700942711417,0.7654402020732402,-0.6957531569398131,-0.7513336367703822
512,0,0.115234375,59,1.1511096401422576,-0.6658148121461152,0.7204651053647374,-0.7150613895811911,-0.6802249398721887,-0.6837562398628391,-0.7429022257794035,-0.6903246732563283,0.7386476227392337
512,0,0.09765625,50,1.3065374364487528,-0.7231894406164469,0.6868539244040764,-0.6707681882932507,-0.813530005859712,-0.6324277080895586,-0.8310700157326303,-0.7589499961042802,0.777746382175598
512,0,0.2890625,148,2.165931202261509,-1.38025247723341,1.2128418152506892,-0.2802046222454252,-0.33812285669367687,-0.7662096931668612,0.6709237429748445,-0.7008737369223211,-0.8085773045745501
512,0,0.478515625,245,2.281013732821533,-1.1874256478609682,0.632655423806057,-0.24821450548051913,-0.3213174882312231,-0.9771555665975236,1.757589586882483,-0.5918144869034618,-0.7972401446794929
512,0,0.244140625,125,2.300016334511109,-0.672249625040554,-0.7803155374213117,-0.7157813467034324,0.8356239346128961,-1.474978199149527,-1.3702856482233148,-0.25509748145115335,0.3590535389167445
