n,nsamp,error.rate,error.count
256,8,0.42578125,109
256,8,0.171875,44
256,8,0.16015625,41
256,8,0.16796875,43
256,8,0.13671875,35
256,8,0.14453125,37
256,8,0.16015625,41
256,8,0.1796875,46
256,8,0.13671875,35
256,8,0.171875,44
256,8,0.18359375,47
256,8,0.18359375,47
256,8,0.1484375,38
256,8,0.1484375,38
256,8,0.16015625,41
256,8,0.125,32
256,8,0.12109375,31
128,8,0.1875,24
128,8,0.1953125,25
128,8,0.21875,28
128,8,0.2421875,31
128,8,0.25,32
128,8,0.203125,26
128,8,0.1796875,23
128,8,0.1875,24
128,8,0.2109375,27
128,8,0.203125,26
128,8,0.15625,20
128,8,0.1484375,19
128,8,0.4765625,61
128,8,0.25,32
128,8,0.1875,24
128,8,0.2734375,35
128,8,0.203125,26
128,8,0.265625,34
128,8,0.2109375,27
128,8,0.2734375,35
128,8,0.2890625,37
128,8,0.2421875,31
128,8,0.171875,22
128,8,0.2421875,31
128,8,0.203125,26
128,8,0.3828125,49
128,8,0.1640625,21
128,8,0.25,32
128,8,0.2890625,37
128,8,0.25,32
128,8,0.28125,36
128,8,0.2421875,31
2048,10,0.03271484375,67
2048,10,0.0400390625,82
2048,10,0.04150390625,85
2048,10,0.03759765625,77
2048,10,0.0439453125,90
2048,10,0.04052734375,83
2048,10,0.044921875,92
2048,10,0.03955078125,81
2048,10,0.03955078125,81
2048,10,0.0458984375,94
2048,10,0.04443359375,91
2048,10,0.04833984375,99
2048,10,0.0478515625,98
2048,10,0.04833984375,99
2048,10,0.046875,96
2048,10,0.048828125,100
2048,10,0.0400390625,82
2048,10,0.04248046875,87
2048,10,0.04443359375,91
2048,10,0.0439453125,90
2048,10,0.04345703125,89
2048,10,0.0419921875,86
2048,10,0.041015625,84
2048,10,0.037109375,76
2048,10,0.04541015625,93
2048,10,0.0390625,80
2048,10,0.041015625,84
2048,10,0.04736328125,97
2048,10,0.04052734375,83
2048,10,0.041015625,84
2048,10,0.04443359375,91
2048,10,0.04296875,88
1024,10,0.072265625,74
1024,10,0.056640625,58
1024,10,0.0546875,56
1024,10,0.0654296875,67
1024,10,0.056640625,58
1024,10,0.06640625,68
1024,10,0.0576171875,59
1024,10,0.0439453125,45
1024,10,0.064453125,66
1024,10,0.06640625,68
1024,10,0.0693359375,71
1024,10,0.0751953125,77
1024,10,0.05859375,60
1024,10,0.052734375,54
1024,10,0.0546875,56
1024,10,0.05859375,60
1024,10,0.0693359375,71
1024,10,0.05859375,60
1024,10,0.0654296875,67
1024,10,0.0595703125,61
1024,10,0.052734375,54
1024,10,0.38671875,396
1024,10,0.060546875,62
1024,10,0.0556640625,57
1024,10,0.0615234375,63
1024,10,0.0771484375,79
1024,10,0.0673828125,69
1024,10,0.0625,64
1024,10,0.0634765625,65
1024,10,0.0693359375,71
1024,10,0.05078125,52
1024,10,0.0712890625,73
512,10,0.125,64
512,10,0.1015625,52
512,10,0.107421875,55
512,10,0.1015625,52
512,10,0.06640625,34
512,10,0.0859375,44
512,10,0.09375,48
512,10,0.130859375,67
512,10,0.08984375,46
512,10,0.080078125,41
512,10,0.08203125,42
512,10,0.076171875,39
512,10,0.09375,48
512,10,0.109375,56
512,10,0.083984375,43
512,10,0.08984375,46
512,10,0.07421875,38
512,10,0.087890625,45
512,10,0.087890625,45
512,10,0.06640625,34
512,10,0.1015625,52
512,10,0.1015625,52
512,10,0.111328125,57
512,10,0.091796875,47
512,10,0.099609375,51
512,10,0.095703125,49
512,10,0.09765625,50
512,10,0.095703125,49
512,10,0.087890625,45
512,10,0.09765625,50
512,10,0.10546875,54
512,10,0.08984375,46
256,10,0.17578125,45
256,10,0.16796875,43
256,10,0.171875,44
256,10,0.1328125,34
256,10,0.15625,40
256,10,0.2109375,54
256,10,0.125,32
256,10,0.1640625,42
256,10,0.1328125,34
256,10,0.1796875,46
256,10,0.125,32
256,10,0.12890625,33
256,10,0.1875,48
256,10,0.16015625,41
256,10,0.09765625,25
256,10,0.109375,28
256,10,0.3203125,82
256,10,0.1171875,30
256,10,0.1015625,26
256,10,0.1640625,42
256,10,0.1328125,34
256,10,0.17578125,45
256,10,0.140625,36
256,10,0.19140625,49
256,10,0.125,32
256,10,0.18359375,47
256,10,0.13671875,35
256,10,0.1015625,26
256,10,0.1484375,38
256,10,0.19140625,49
256,10,0.15625,40
256,10,0.125,32
128,10,0.21875,28
128,10,0.21875,28
128,10,0.265625,34
128,10,0.46875,60
128,10,0.2578125,33
128,10,0.2421875,31
128,10,0.2265625,29
128,10,0.234375,30
128,10,0.1796875,23
128,10,0.1953125,25
128,10,0.234375,30
128,10,0.203125,26
128,10,0.1484375,19
128,10,0.2421875,31
128,10,0.15625,20
128,10,0.3203125,41
128,10,0.1953125,25
128,10,0.2421875,31
128,10,0.25,32
128,10,0.1484375,19
128,10,0.140625,18
128,10,0.2578125,33
128,10,0.2265625,29
128,10,0.296875,38
128,10,0.21875,28
128,10,0.1953125,25
128,10,0.234375,30
128,10,0.21875,28
128,10,0.2265625,29
128,10,0.1796875,23
128,10,0.2421875,31
128,10,0.171875,22
